docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-1,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1.html,Current docket outcome matches at least one parsed Journal row.
23-2,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-2.html,Current docket outcome matches at least one parsed Journal row.
23-3,paid,granted,2023-11-03,granted,2023-11-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-3.html,Current docket outcome matches at least one parsed Journal row.
23-4,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-4.html,Current docket outcome matches at least one parsed Journal row.
23-5,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5.html,Current docket outcome matches at least one parsed Journal row.
23-6,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6.html,Current docket outcome matches at least one parsed Journal row.
23-7,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7.html,Current docket outcome matches at least one parsed Journal row.
23-8,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-8.html,Current docket outcome matches at least one parsed Journal row.
23-9,paid,gvr_or_remand,2024-06-24,gvr_or_remand,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-9.html,Current docket outcome matches at least one parsed Journal row.
23-10,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-10.html,Current docket outcome matches at least one parsed Journal row.
23-11,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-11.html,Current docket outcome matches at least one parsed Journal row.
23-12,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-12.html,Current docket outcome matches at least one parsed Journal row.
23-13,paid,denied,2023-11-20,denied,2023-11-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-13.html,Current docket outcome matches at least one parsed Journal row.
23-14,paid,granted,2023-11-13,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-14.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-15,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-15.html,Current docket outcome matches at least one parsed Journal row.
23-16,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-16.html,Current docket outcome matches at least one parsed Journal row.
23-17,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-17.html,Current docket outcome matches at least one parsed Journal row.
23-18,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-18.html,Current docket outcome matches at least one parsed Journal row.
23-19,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-19.html,Current docket outcome matches at least one parsed Journal row.
23-20,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-20.html,Current docket outcome matches at least one parsed Journal row.
23-21,paid,granted,2023-12-08,granted,2023-12-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-21.html,Current docket outcome matches at least one parsed Journal row.
23-22,paid,denied,2023-10-30,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-22.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-23,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-23.html,Current docket outcome matches at least one parsed Journal row.
23-24,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-24.html,Current docket outcome matches at least one parsed Journal row.
23-25,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-25.html,Current docket outcome matches at least one parsed Journal row.
23-26,paid,gvr_or_remand,2024-04-15,gvr_or_remand,2024-04-15,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-26.html,Current docket outcome matches at least one parsed Journal row.
23-27,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-27.html,Current docket outcome matches at least one parsed Journal row.
23-28,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-28.html,Current docket outcome matches at least one parsed Journal row.
23-29,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-29.html,Current docket outcome matches at least one parsed Journal row.
23-30,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-30.html,Current docket outcome matches at least one parsed Journal row.
23-31,paid,denied,2023-10-30,denied,2023-10-30,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-31.html,Current docket outcome matches at least one parsed Journal row.
23-32,paid,gvr_or_remand,2024-07-02,gvr_or_remand,2024-07-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-32.html,Current docket outcome matches at least one parsed Journal row.
23-33,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-33.html,Current docket outcome matches at least one parsed Journal row.
23-34,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-34.html,Current docket outcome matches at least one parsed Journal row.
23-35,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-35.html,Current docket outcome matches at least one parsed Journal row.
23-36,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-36.html,Current docket outcome matches at least one parsed Journal row.
23-37,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-37.html,Current docket outcome matches at least one parsed Journal row.
23-38,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-38.html,Current docket outcome matches at least one parsed Journal row.
23-39,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-39.html,Current docket outcome matches at least one parsed Journal row.
23-40,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-40.html,Current docket outcome matches at least one parsed Journal row.
23-41,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-41.html,Current docket outcome matches at least one parsed Journal row.
23-42,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-42.html,Current docket outcome matches at least one parsed Journal row.
23-43,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-43.html,Current docket outcome matches at least one parsed Journal row.
23-44,paid,gvr_or_remand,2024-04-15,gvr_or_remand,2024-04-15,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-44.html,Current docket outcome matches at least one parsed Journal row.
23-45,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-45.html,Current docket outcome matches at least one parsed Journal row.
23-46,paid,gvr_or_remand,2024-03-25,gvr_or_remand,2024-03-25,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-46.html,Current docket outcome matches at least one parsed Journal row.
23-47,paid,gvr_or_remand,2024-06-24,gvr_or_remand,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-47.html,Current docket outcome matches at least one parsed Journal row.
23-48,paid,denied,2023-11-20,denied,2023-11-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-48.html,Current docket outcome matches at least one parsed Journal row.
23-49,paid,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-49.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-50,paid,granted,2023-12-13,granted,2023-12-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-50.html,Current docket outcome matches at least one parsed Journal row.
23-51,paid,granted,2023-09-29,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-51.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-52,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-52.html,Current docket outcome matches at least one parsed Journal row.
23-53,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-53.html,Current docket outcome matches at least one parsed Journal row.
23-54,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-54.html,Current docket outcome matches at least one parsed Journal row.
23-55,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-55.html,Current docket outcome matches at least one parsed Journal row.
23-56,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-56.html,Current docket outcome matches at least one parsed Journal row.
23-57,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-57.html,Current docket outcome matches at least one parsed Journal row.
23-58,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-58.html,Current docket outcome matches at least one parsed Journal row.
23-59,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-59.html,Current docket outcome matches at least one parsed Journal row.
23-60,paid,gvr_or_remand,2023-12-11,gvr_or_remand,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-60.html,Current docket outcome matches at least one parsed Journal row.
23-61,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-61.html,Current docket outcome matches at least one parsed Journal row.
23-62,paid,denied,2024-06-24,denied,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-62.html,Current docket outcome matches at least one parsed Journal row.
23-63,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-63.html,Current docket outcome matches at least one parsed Journal row.
23-64,paid,denied,2023-10-02,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-64.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-65,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-65.html,Current docket outcome matches at least one parsed Journal row.
23-66,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-66.html,Current docket outcome matches at least one parsed Journal row.
23-67,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-67.html,Current docket outcome matches at least one parsed Journal row.
23-68,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-68.html,Current docket outcome matches at least one parsed Journal row.
23-69,paid,denied,2023-10-30,denied,2023-10-30,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-69.html,Current docket outcome matches at least one parsed Journal row.
23-70,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-70.html,Current docket outcome matches at least one parsed Journal row.
23-71,paid,denied,2023-11-20,denied,2023-11-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-71.html,Current docket outcome matches at least one parsed Journal row.
23-72,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-72.html,Current docket outcome matches at least one parsed Journal row.
23-73,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-73.html,Current docket outcome matches at least one parsed Journal row.
23-74,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-74.html,Current docket outcome matches at least one parsed Journal row.
23-75,paid,gvr_or_remand,2024-04-15,gvr_or_remand,2024-04-15,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-75.html,Current docket outcome matches at least one parsed Journal row.
23-76,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-76.html,Current docket outcome matches at least one parsed Journal row.
23-77,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-77.html,Current docket outcome matches at least one parsed Journal row.
23-78,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-78.html,Current docket outcome matches at least one parsed Journal row.
23-79,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-79.html,Current docket outcome matches at least one parsed Journal row.
23-80,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-80.html,Current docket outcome matches at least one parsed Journal row.
23-81,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-81.html,Current docket outcome matches at least one parsed Journal row.
23-82,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-82.html,Current docket outcome matches at least one parsed Journal row.
23-83,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-83.html,Current docket outcome matches at least one parsed Journal row.
23-84,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-84.html,Current docket outcome matches at least one parsed Journal row.
23-85,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-85.html,Current docket outcome matches at least one parsed Journal row.
23-86,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-86.html,Current docket outcome matches at least one parsed Journal row.
23-87,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-87.html,Current docket outcome matches at least one parsed Journal row.
23-88,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-88.html,Current docket outcome matches at least one parsed Journal row.
23-89,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-89.html,Current docket outcome matches at least one parsed Journal row.
23-90,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-90.html,Current docket outcome matches at least one parsed Journal row.
23-91,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-91.html,Current docket outcome matches at least one parsed Journal row.
23-92,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-92.html,Current docket outcome matches at least one parsed Journal row.
23-93,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-93.html,Current docket outcome matches at least one parsed Journal row.
23-94,paid,gvr_or_remand,2024-07-02,gvr_or_remand,2024-07-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-94.html,Current docket outcome matches at least one parsed Journal row.
23-95,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-95.html,Current docket outcome matches at least one parsed Journal row.
23-96,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-96.html,Current docket outcome matches at least one parsed Journal row.
23-97,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-97.html,Current docket outcome matches at least one parsed Journal row.
23-98,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-98.html,Current docket outcome matches at least one parsed Journal row.
23-99,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-99.html,Current docket outcome matches at least one parsed Journal row.
23-100,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-100.html,Current docket outcome matches at least one parsed Journal row.
23-101,paid,gvr_or_remand,2024-06-24,gvr_or_remand,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-101.html,Current docket outcome matches at least one parsed Journal row.
23-102,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-102.html,Current docket outcome matches at least one parsed Journal row.
23-103,paid,denied,2023-11-06,denied,2023-11-06,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-103.html,Current docket outcome matches at least one parsed Journal row.
23-104,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-104.html,Current docket outcome matches at least one parsed Journal row.
23-105,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-105.html,Current docket outcome matches at least one parsed Journal row.
23-106,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-106.html,Current docket outcome matches at least one parsed Journal row.
23-107,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-107.html,Current docket outcome matches at least one parsed Journal row.
23-108,paid,granted,2023-12-13,granted,2023-12-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-108.html,Current docket outcome matches at least one parsed Journal row.
23-109,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-109.html,Current docket outcome matches at least one parsed Journal row.
23-110,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-110.html,Current docket outcome matches at least one parsed Journal row.
23-111,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-111.html,Current docket outcome matches at least one parsed Journal row.
23-112,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-112.html,Current docket outcome matches at least one parsed Journal row.
23-113,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-113.html,Current docket outcome matches at least one parsed Journal row.
23-114,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-114.html,Current docket outcome matches at least one parsed Journal row.
23-115,paid,denied,2023-12-11,denied,2023-12-11,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-115.html,Current docket outcome matches at least one parsed Journal row.
23-116,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-116.html,Current docket outcome matches at least one parsed Journal row.
23-117,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-117.html,Current docket outcome matches at least one parsed Journal row.
23-118,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-118.html,Current docket outcome matches at least one parsed Journal row.
23-119,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-119.html,Current docket outcome matches at least one parsed Journal row.
23-120,paid,denied,2024-04-22,denied,2024-04-22,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-120.html,Current docket outcome matches at least one parsed Journal row.
23-121,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-121.html,Current docket outcome matches at least one parsed Journal row.
23-122,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-122.html,Current docket outcome matches at least one parsed Journal row.
23-123,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-123.html,Current docket outcome matches at least one parsed Journal row.
23-124,paid,granted,2023-08-10,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-124.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-125,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-125.html,Current docket outcome matches at least one parsed Journal row.
23-126,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-126.html,Current docket outcome matches at least one parsed Journal row.
23-127,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-127.html,Current docket outcome matches at least one parsed Journal row.
23-128,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-128.html,Current docket outcome matches at least one parsed Journal row.
23-129,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-129.html,Current docket outcome matches at least one parsed Journal row.
23-130,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-130.html,Current docket outcome matches at least one parsed Journal row.
23-131,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-131.html,Current docket outcome matches at least one parsed Journal row.
23-132,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-132.html,Current docket outcome matches at least one parsed Journal row.
23-133,paid,gvr_or_remand,2024-07-02,gvr_or_remand,2024-07-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-133.html,Current docket outcome matches at least one parsed Journal row.
23-134,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-134.html,Current docket outcome matches at least one parsed Journal row.
23-135,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-135.html,Current docket outcome matches at least one parsed Journal row.
23-136,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-136.html,Current docket outcome matches at least one parsed Journal row.
23-137,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-137.html,Current docket outcome matches at least one parsed Journal row.
23-138,paid,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-138.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-139,paid,denied,2023-10-02,denied,2023-10-02,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-139.html,Current docket outcome matches at least one parsed Journal row.
23-140,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-140.html,Current docket outcome matches at least one parsed Journal row.
23-141,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-141.html,Current docket outcome matches at least one parsed Journal row.
23-142,paid,denied,2023-10-30,denied,2023-10-30,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-142.html,Current docket outcome matches at least one parsed Journal row.
23-143,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-143.html,Current docket outcome matches at least one parsed Journal row.
23-144,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-144.html,Current docket outcome matches at least one parsed Journal row.
23-145,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-145.html,Current docket outcome matches at least one parsed Journal row.
23-146,paid,granted,2023-12-13,granted,2023-12-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-146.html,Current docket outcome matches at least one parsed Journal row.
23-147,paid,denied,2024-01-08,denied,2024-01-08,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-147.html,Current docket outcome matches at least one parsed Journal row.
23-148,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-148.html,Current docket outcome matches at least one parsed Journal row.
23-149,paid,denied,2023-10-10,denied,2023-10-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-149.html,Current docket outcome matches at least one parsed Journal row.
23-150,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-150.html,Current docket outcome matches at least one parsed Journal row.
23-151,paid,denied,2023-10-16,denied,2023-10-16,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-151.html,Current docket outcome matches at least one parsed Journal row.
23-152,paid,denied,2023-10-30,denied,2023-10-30,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-152.html,Current docket outcome matches at least one parsed Journal row.
