docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-7283,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7283.html,Current docket outcome matches at least one parsed Journal row.
23-7284,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7284.html,Current docket outcome matches at least one parsed Journal row.
23-7285,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7285.html,Current docket outcome matches at least one parsed Journal row.
23-7286,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7286.html,Current docket outcome matches at least one parsed Journal row.
23-7287,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7287.html,Current docket outcome matches at least one parsed Journal row.
23-7288,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7288.html,Current docket outcome matches at least one parsed Journal row.
23-7289,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7289.html,Current docket outcome matches at least one parsed Journal row.
23-7290,ifp,denied,2024-06-17,denied,2024-06-17,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7290.html,Current docket outcome matches at least one parsed Journal row.
23-7291,ifp,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7291.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7292,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7292.html,Current docket outcome matches at least one parsed Journal row.
23-7293,ifp,gvr_or_remand,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7293.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7294,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7294.html,Current docket outcome matches at least one parsed Journal row.
23-7295,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7295.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7296,ifp,denied,2024-06-17,denied,2024-06-17,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7296.html,Current docket outcome matches at least one parsed Journal row.
23-7297,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7297.html,Current docket outcome matches at least one parsed Journal row.
23-7298,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7298.html,Current docket outcome matches at least one parsed Journal row.
