priorityTier,pilotSelected,term,docketNumber,sourceRecordId,sourceUrl,paidOrIfp,missingCharacteristics,neededDocuments,codingStatus,snapshotDate
3_remaining_cohort,no,OT2023,23-6450,docket:23-6450; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6450.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-5827,docket:24-5827; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-5827.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-5037,docket:24-5037; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-5037.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-7508,docket:24-7508; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7508.html,ifp,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-6105,docket:23-6105; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6105.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-7525,docket:23-7525; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7525.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-7680,docket:23-7680; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7680.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-438,docket:23-438; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-438.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-245,docket:23-245; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-245.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-6421,docket:23-6421; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6421.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-1320,docket:23-1320; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-1320.html,paid,petitionerType;respondentType;lowerCourtOrigin;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-6059,docket:23-6059; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6059.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-7117,docket:24-7117; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7117.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-335,docket:23-335; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-335.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-24,docket:24-24; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-24.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-6649,docket:24-6649; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-6649.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-6063,docket:23-6063; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6063.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-7520,docket:24-7520; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-7520.html,ifp,petitionerType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2024,24-581,docket:24-581; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-581.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
3_remaining_cohort,no,OT2023,23-6979,docket:23-6979; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-6979.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-5593,docket:23-5593; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5593.html,ifp,petitionerType;respondentType;lowerCourtOrigin;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2023,23-5281,docket:23-5281; cohort:OT2023-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/23-5281.html,ifp,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-24
3_remaining_cohort,no,OT2024,24-1049,docket:24-1049; cohort:OT2024-paid-ifp-docketed,https://www.supremecourt.gov/docket/docketfiles/html/public/24-1049.html,paid,petitionerType;respondentType;issueArea;specialistCounselFlag;formerClerkCounselFlag;allegedSplitFlag;genuineSplitFlag;splitDepth;vehicleQualityObjection,petition; brief in opposition or waiver; lower-court opinion; counsel source dated by filing,pending_source_and_human_coding,2026-07-26
