caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,directionalScore,representativeQuality,riskControl,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-deep-strategy-bundle,Default pass + adaptive strategy bundle,7200,60.000,7010,58.417,59.900,0.717,0.492,0.687,0.974,0.998,0.536,0.455,0.522,0.212,0.026,0.002,0.000,0.000,0.367,0.012,0.378,0.351,0.230,0.828,0.998,0.636,0.103,0.553,2.177,0.172,0.998,0.297,0.122,0.938,0.221,0.431,0.000,0.000,0.000,0.378,0.000,0.000,0.000,0.000,0.000,4.308,0.175,0.157,0.213,0.325,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.443,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-multiround-mediation,Default pass + multi-round mediation,7200,60.000,6921,57.675,60.000,0.707,0.485,0.675,0.961,1.000,0.531,0.449,0.510,0.198,0.039,0.000,0.000,0.000,0.389,0.022,0.397,0.373,0.257,0.823,0.998,0.674,0.000,0.000,0.000,0.177,0.717,0.277,0.118,0.949,0.232,0.424,0.000,0.000,0.000,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.432,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,7200,60.000,5982,49.850,60.000,0.676,0.492,0.704,0.831,1.000,0.535,0.456,0.445,0.206,0.169,0.000,0.000,0.333,0.331,0.105,0.334,0.360,0.259,0.828,0.897,0.672,0.000,0.000,0.000,0.172,0.713,0.276,0.116,0.848,0.232,0.434,0.000,0.000,0.000,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.481,0.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.379,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-constituent-citizen-panel,Default pass + constituent public will + citizen panel,7200,60.000,2926,24.383,60.000,0.595,0.547,0.833,0.406,1.000,0.558,0.625,0.227,0.180,0.594,0.000,0.000,0.000,0.235,0.012,0.215,0.436,0.194,0.858,0.969,0.348,0.000,0.000,0.000,0.142,0.000,0.000,0.105,0.170,0.000,0.515,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.286,0.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.279,0.399,0.000,0.000,0.000,0.000,0.000,0.068,0.254,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-alternatives-pairwise,Default pass + pairwise policy tournament,7200,60.000,3955,32.958,32.958,0.714,0.655,0.938,0.549,0.549,0.665,0.639,0.366,0.483,0.451,0.451,0.000,0.000,0.014,0.001,0.006,0.005,0.190,0.840,0.949,0.358,0.000,0.000,0.000,0.160,0.549,0.330,0.045,0.020,0.000,0.648,0.000,0.000,0.000,0.006,0.000,0.001,0.003,6.000,0.451,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.351,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-public-objection,Default pass + public objection window,7200,60.000,3208,26.733,60.000,0.597,0.528,0.818,0.446,1.000,0.560,0.591,0.249,0.172,0.554,0.000,0.000,0.000,0.251,0.211,0.217,0.388,0.199,0.813,0.913,0.380,0.000,0.000,0.000,0.187,0.000,0.000,0.103,0.228,0.000,0.506,0.000,0.000,0.000,0.217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.263,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,1.000,default-pass-law-registry,Default pass + law registry,7200,60.000,6243,52.025,60.000,0.658,0.471,0.636,0.867,1.000,0.547,0.491,0.474,0.133,0.133,0.000,0.000,0.000,0.404,0.021,0.833,0.599,0.254,0.794,0.995,0.586,0.000,0.000,0.000,0.206,0.000,0.000,0.168,0.799,0.000,0.391,0.596,0.513,5.125,0.833,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.426,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,current-system,Current U.S.-style system,7200,60.000,524,4.367,60.000,0.547,0.645,0.922,0.073,1.000,0.674,0.698,0.049,0.357,0.927,0.000,0.000,0.000,0.000,0.796,0.016,0.156,0.219,0.838,0.214,0.404,0.000,0.000,0.000,0.162,0.000,0.000,0.056,0.024,0.000,0.658,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.051,206,2
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,simple-majority,Unicameral simple majority,7200,60.000,2031,16.925,60.000,0.579,0.571,0.886,0.282,1.000,0.599,0.635,0.169,0.232,0.718,0.000,0.000,0.000,0.000,0.384,0.112,0.320,0.207,0.830,0.736,0.393,0.000,0.000,0.000,0.170,0.000,0.000,0.086,0.120,0.000,0.558,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.179,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,1.000,supermajority-60,Unicameral 60 percent passage,7200,60.000,730,6.083,60.000,0.554,0.639,0.922,0.101,1.000,0.662,0.704,0.067,0.345,0.899,0.000,0.000,0.000,0.000,0.722,0.023,0.166,0.199,0.836,0.313,0.359,0.000,0.000,0.000,0.164,0.000,0.000,0.056,0.034,0.000,0.649,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.071,0,0
